Temperature_C,Vdc_V,Vsc_V
24,2.67,0.64
30,2.67,0.64
35,2.67,0.65
40,2.67,0.63
45,2.67,0.65
50,2.67,0.64
55,2.68,0.64
60,2.69,0.61
65,2.70,0.62
70,2.70,0.61
75,2.70,0.62
80,2.60,0.61
85,2.69,0.63
90,2.68,0.63
95,2.66,0.65
100,2.65,0.66
105,2.62,0.69
110,2.58,0.74
111,2.58,0.76
112,2.59,
113,2.53,
114,2.51,
115,2.51,
116,2.47,
117,2.45,
118,2.44,
119,2.42,
120,2.39,
121,2.32,
122,2.24,
123,2.02,
124,1.70,
125,1.38,
126,1.30,
127,1.30,
128,1.33,
129,1.37,
130,1.42,
131,1.46,
132,1.50,
133,1.55,
134,1.60,
135,1.63,
136,1.67,
137,1.71,
138,1.75,
139,1.78,
140,1.81,
141,1.87,
142,1.92,
143,1.95,
144,1.97,
145,2.00,